dataset,seed,K,test_of_val_winner,oracle_test,regret
ring,2,20,0.996453061914186,0.9965600893778372,0.0001070274636512103
ring,2,30,0.9970642222387215,0.9971305419507462,6.631971202475384e-05
ring,2,40,0.9972170779259016,0.9972725774407372,5.549951483552196e-05
ring,2,50,0.9973621760981491,0.9974192501580947,5.7074059945594335e-05
ring,2,63,0.9973731979139197,0.9974679266441199,9.472873020022199e-05
satimage,0,3,0.9855185751761382,0.9857562553170526,0.00023768014091440914
satimage,0,5,0.9864449404989432,0.9868541148999861,0.00040917440104293323
satimage,0,10,0.9867542594931484,0.9872811259192643,0.0005268664261158795
satimage,0,15,0.9869398878098119,0.9874823082858175,0.0005424204760056117
satimage,0,20,0.9870947372242769,0.9875725022542247,0.00047776502994778536
satimage,0,30,0.9873952379829471,0.9877302735573527,0.0003350355744055067
satimage,0,40,0.9876853016617164,0.9878434673858135,0.0001581657240971035
satimage,0,50,0.9878668546657425,0.987931701898545,6.4847232802423e-05
satimage,0,63,0.988029995368319,0.988029995368319,0.0
satimage,1,3,0.9821875771524488,0.9823549888254073,0.00016741167295852843
satimage,1,5,0.9833159083187176,0.9836262607670898,0.00031035244837218645
satimage,1,10,0.9835201803710061,0.9841426653802976,0.000622485009291518
satimage,1,15,0.9837602620058967,0.9843593751047507,0.000599113098853965
satimage,1,20,0.9838851901468345,0.9844716064317458,0.0005864162849112953
satimage,1,30,0.9843289472100218,0.9846966884731535,0.0003677412631316601
satimage,1,40,0.9846442897091141,0.9848337263117983,0.00018943660268422313
satimage,1,50,0.9848936518852145,0.9849475654253576,5.3913540143057936e-05
satimage,1,63,0.9850746449075096,0.9850746449075096,0.0
satimage,2,3,0.9851338823139859,0.9852286623101105,9.477999612461652e-05
satimage,2,5,0.9863779206791219,0.9865179269177105,0.00014000623858856365
satimage,2,10,0.9875109252130929,0.9876133979179823,0.0001024727048893892
satimage,2,15,0.9880081695800235,0.9880493988002592,4.122922023575004e-05
satimage,2,20,0.9882434424969847,0.9882720222958382,2.8579798853511917e-05
satimage,2,30,0.988531880771866,0.9885478296935551,1.594892168910178e-05
satimage,2,40,0.9886546202702087,0.9886572498480605,2.6295778517981816e-06
satimage,2,50,0.988716489112496,0.9887169862332015,4.971207054893512e-07
satimage,2,63,0.9888077635009274,0.9888077635009274,0.0
sonar,0,3,0.8826004464285714,0.8907161458333333,0.008115699404761867
sonar,0,5,0.8904371279761905,0.9005561755952379,0.010119047619047472
sonar,0,10,0.9053831845238094,0.9165327380952379,0.01114955357142855
sonar,0,15,0.9130505952380952,0.9266778273809523,0.013627232142857104
sonar,0,20,0.9165643601190474,0.9316015625,0.01503720238095263
sonar,0,30,0.9212630208333331,0.9390885416666666,0.01782552083333344
sonar,0,40,0.9241462053571428,0.9444959077380952,0.02034970238095246
sonar,0,50,0.9247823660714283,0.949086681547619,0.02430431547619072
sonar,0,63,0.9248511904761902,0.9538690476190476,0.029017857142857317
sonar,1,3,0.8837944444444444,0.8918203703703704,0.008025925925925992
sonar,1,5,0.8922518518518519,0.9033351851851852,0.011083333333333334
sonar,1,10,0.9117537037037038,0.9203888888888889,0.008635185185185135
sonar,1,15,0.9180407407407409,0.9274870370370372,0.00944629629629623
sonar,1,20,0.9203055555555555,0.9319833333333334,0.011677777777777898
sonar,1,30,0.9211148148148149,0.9362407407407407,0.015125925925925765
sonar,1,40,0.9196185185185186,0.9400666666666666,0.020448148148147993
sonar,1,50,0.9180037037037039,0.9430000000000001,0.024996296296296183
sonar,1,63,0.9170370370370372,0.9444444444444445,0.027407407407407325
sonar,2,3,0.7944215029761905,0.8151767113095238,0.02075520833333333
sonar,2,5,0.805952380952381,0.8264006696428572,0.020448288690476213
sonar,2,10,0.8185788690476191,0.8401376488095239,0.02155877976190479
sonar,2,15,0.8283258928571429,0.846084449404762,0.017758556547619153
sonar,2,20,0.8364825148809524,0.8520238095238096,0.01554129464285725
sonar,2,30,0.8495089285714286,0.8572395833333334,0.0077306547619048205
sonar,2,40,0.85734375,0.860366443452381,0.0030226934523810423
sonar,2,50,0.8616592261904762,0.8627492559523811,0.0010900297619048649
sonar,2,63,0.8660714285714286,0.8660714285714286,0.0
spambase,0,3,0.9836207132202833,0.983832662322477,0.000211949102193687
spambase,0,5,0.9846828288637901,0.9850038080129441,0.00032097914915396597
spambase,0,10,0.9854385140217041,0.9858948395894298,0.00045632556772567945
spambase,0,15,0.9856045457561987,0.9861296960226015,0.000525150266402763
spambase,0,20,0.9857679031911465,0.9862631265840386,0.0004952233928920968
spambase,0,30,0.9861123624533082,0.9864467170504174,0.0003343545971091766
spambase,0,40,0.9862707426099268,0.9865181844468743,0.0002474418369475817
spambase,0,50,0.986346266883244,0.9865517257725052,0.0002054588892611564
spambase,0,63,0.986387538791169,0.9865645086873259,0.00017696989615689773
spambase,1,3,0.9793498489435529,0.979625511158584,0.00027566221503105837
spambase,1,5,0.9807962736776241,0.981078872480549,0.000282598802924916
spambase,1,10,0.9816979155474373,0.9820450570095879,0.0003471414621505353
spambase,1,15,0.9819119069138346,0.982247766545105,0.00033585963127047425
spambase,1,20,0.982005645655705,0.9823676241475422,0.0003619784918371671
spambase,1,30,0.9821365599264311,0.9824544421024024,0.00031788217597128465
spambase,1,40,0.9822617779786245,0.9825028046568365,0.00024102667821201962
spambase,1,50,0.98233315056978,0.9825343629715775,0.00020121240179749034
spambase,1,63,0.9824594391318365,0.9825542444333487,9.48053015121797e-05
spambase,2,3,0.984051883781341,0.9842954781031356,0.0002435943217945491
spambase,2,5,0.9856970915313583,0.9859595955605838,0.00026250402922545213
spambase,2,10,0.9865594050019277,0.9871542727169305,0.0005948677150027226
spambase,2,15,0.9867401039066104,0.9876453681289857,0.0009052642223753571
spambase,2,20,0.9866190019845911,0.9878870979465172,0.001268095961926119
spambase,2,30,0.9862343018221579,0.9880998054911231,0.0018655036689652071
spambase,2,40,0.9858900361208198,0.988246078220694,0.002356042099874167
spambase,2,50,0.9855531849841043,0.9883129199084812,0.0027597349243769775
spambase,2,63,0.9847142252194742,0.9883563288859114,0.0036421036664372464
twonorm,0,3,0.9976812004638731,0.9977671942840172,8.59938201440702e-05
twonorm,0,5,0.9979532299602687,0.9980732014673955,0.00011997150712683702
twonorm,0,10,0.9982339314788645,0.9983341205353485,0.00010018905648401244
twonorm,0,15,0.9982812948001147,0.9983853430664783,0.00010404826636356557
twonorm,0,20,0.9982932724307773,0.9984026199107069,0.00010934747992963345
twonorm,0,30,0.9983117396780534,0.998422351161219,0.00011061148316560132
twonorm,0,40,0.9983182740947815,0.998431083983575,0.00011280988879358578
