dataset,seed,leak,model,val,test,gap,p_single,p_dup,p_cvgap
phoneme,1,нет,hgb,0.9444612076191023,0.932694697795369,0.011766509823733395,,,
phoneme,1,нет,logit,0.7803497277181486,0.8143845962637909,-0.034034868545642305,,,
phoneme,1,нет,__probes__,,,,0.7165848261012591,0.007,0.004294788496740143
phoneme,1,признак_из_цели,rf,0.9782437940332678,0.7945634715768944,0.18368032245637333,,,
phoneme,1,признак_из_цели,hgb,0.9773649247333458,0.8176112353964702,0.15975368933687562,,,
phoneme,1,признак_из_цели,logit,0.9557883242093769,0.6610833859156007,0.2947049382937762,,,
phoneme,1,признак_из_цели,__probes__,,,,0.9395687670085829,0.0,0.0018538438587755168
phoneme,1,дубликаты,rf,0.9580914031078392,0.9359165567219259,0.022174846385913383,,,
phoneme,1,дубликаты,hgb,0.9588833916192347,0.932694697795369,0.026188693823865794,,,
phoneme,1,дубликаты,logit,0.7749559873854359,0.8143845962637909,-0.039428608878354976,,,
phoneme,1,дубликаты,__probes__,,,,0.7165848261012591,0.256,0.017311328488474054
phoneme,1,предобработка_до_сплита,rf,0.8306790585832947,0.9357731505382513,-0.10509409195495656,,,
