name,family,holdout,cv,test,dataset,seed
et_dNone_f0.5,et,0.9325037707390648,0.8672650878533232,0.9842799188640974,sonar,0
et_d8_fsqrt,et,0.9487179487179487,0.8762414056531703,0.9736308316430021,sonar,0
et_d8_f0.5,et,0.9313725490196078,0.872803666921314,0.9888438133874239,sonar,0
hgb_lr0.03_ln15_l20.0,gbdt,0.8800904977375565,0.7896294881588999,0.9563894523326572,sonar,0
hgb_lr0.03_ln15_l21.0,gbdt,0.8748114630467572,0.7922077922077921,0.9482758620689655,sonar,0
hgb_lr0.03_ln31_l20.0,gbdt,0.8800904977375565,0.7896294881588999,0.9563894523326572,sonar,0
hgb_lr0.03_ln31_l21.0,gbdt,0.8748114630467572,0.7922077922077921,0.9482758620689655,sonar,0
hgb_lr0.03_ln63_l20.0,gbdt,0.8800904977375565,0.7896294881588999,0.9563894523326572,sonar,0
hgb_lr0.03_ln63_l21.0,gbdt,0.8748114630467572,0.7922077922077921,0.9482758620689655,sonar,0
hgb_lr0.1_ln15_l20.0,gbdt,0.8717948717948718,0.793353705118411,0.9462474645030425,sonar,0
hgb_lr0.1_ln15_l21.0,gbdt,0.8687782805429864,0.7892475171886937,0.9553752535496957,sonar,0
hgb_lr0.1_ln31_l20.0,gbdt,0.8717948717948718,0.793353705118411,0.9462474645030425,sonar,0
hgb_lr0.1_ln31_l21.0,gbdt,0.8687782805429864,0.7892475171886937,0.9553752535496957,sonar,0
hgb_lr0.1_ln63_l20.0,gbdt,0.8717948717948718,0.793353705118411,0.9462474645030425,sonar,0
hgb_lr0.1_ln63_l21.0,gbdt,0.8687782805429864,0.7892475171886937,0.9553752535496957,sonar,0
hgb_lr0.3_ln15_l20.0,gbdt,0.892156862745098,0.8166539343009931,0.9523326572008113,sonar,0
hgb_lr0.3_ln15_l21.0,gbdt,0.9027149321266968,0.8277310924369747,0.9371196754563895,sonar,0
hgb_lr0.3_ln31_l20.0,gbdt,0.892156862745098,0.8166539343009931,0.9523326572008113,sonar,0
hgb_lr0.3_ln31_l21.0,gbdt,0.9027149321266968,0.8277310924369747,0.9371196754563895,sonar,0
hgb_lr0.3_ln63_l20.0,gbdt,0.892156862745098,0.8166539343009931,0.9523326572008113,sonar,0
hgb_lr0.3_ln63_l21.0,gbdt,0.9027149321266968,0.8277310924369747,0.9371196754563895,sonar,0
knn1_std,knn,0.7926093514328808,0.7944996180290298,0.9533468559837729,sonar,0
knn1_quant,knn,0.7779034690799397,0.7832314744079452,0.776369168356998,sonar,0
knn5_std,knn,0.7496229260935143,0.7907754010695187,0.9381338742393509,sonar,0
knn5_quant,knn,0.7541478129713424,0.775305576776165,0.8828600405679513,sonar,0
knn15_std,knn,0.6380090497737557,0.6680672268907563,0.8945233265720081,sonar,0
knn15_quant,knn,0.7386877828054299,0.7239304812834224,0.8808316430020283,sonar,0
knn31_std,knn,0.670814479638009,0.7301375095492743,0.896551724137931,sonar,0
knn31_quant,knn,0.7892156862745098,0.7358670741023682,0.8666328600405679,sonar,0
svc_C0.1,svm,0.2526395173453997,0.8183728036669213,0.922920892494929,sonar,0
svc_C1,svm,0.901206636500754,0.8714667685255921,0.9442190669371197,sonar,0
svc_C10,svm,0.9615384615384615,0.881588999236058,0.9634888438133875,sonar,0
"mlp_(64,)_a0.0001",mlp,0.9449472096530921,0.8601986249045073,0.9350912778904665,sonar,0
"mlp_(64,)_a0.01",mlp,0.9457013574660634,0.8601986249045073,0.9350912778904665,sonar,0
"mlp_(128, 64)_a0.0001",mlp,0.9705882352941178,0.8529411764705882,0.9543610547667344,sonar,0
"mlp_(128, 64)_a0.01",mlp,0.9705882352941178,0.8529411764705882,0.9543610547667344,sonar,0
gaussiannb,nb,0.729260935143288,0.7597402597402597,0.7971602434077079,sonar,0
dt_d3,tree,0.7258672699849171,0.6673987776928954,0.8225152129817443,sonar,0
dt_d6,tree,0.7138009049773756,0.6594728800611154,0.8230223123732251,sonar,0
dt_dNone,tree,0.7138009049773756,0.6594728800611154,0.8230223123732251,sonar,0
logreg_C0.01_std,linear,0.8325791855203619,0.8292589763177999,0.8742393509127788,sonar,1
logreg_C0.01_quant,linear,0.8446455505279035,0.8195187165775402,0.8651115618661258,sonar,1
logreg_C0.1_std,linear,0.8461538461538461,0.8451107715813598,0.8701825557809331,sonar,1
logreg_C0.1_quant,linear,0.8544494720965309,0.8076776165011459,0.8610547667342798,sonar,1
logreg_C1_std,linear,0.849924585218703,0.8573338426279602,0.8397565922920893,sonar,1
logreg_C1_quant,linear,0.8069381598793364,0.8025210084033614,0.8154158215010141,sonar,1
logreg_C10_std,linear,0.8506787330316743,0.8535141329258976,0.8174442190669371,sonar,1
logreg_C10_quant,linear,0.7737556561085973,0.7973644003055768,0.8103448275862069,sonar,1
logreg_C100_std,linear,0.8574660633484162,0.8453017570664629,0.806288032454361,sonar,1
logreg_C100_quant,linear,0.7571644042232277,0.7946906035141328,0.797160243407708,sonar,1
rf_dNone_fsqrt,rf,0.8944193061840121,0.8874140565317037,0.9533468559837728,sonar,1
rf_dNone_f0.3,rf,0.9057315233785822,0.8843582887700534,0.9208924949290062,sonar,1
rf_dNone_f0.7,rf,0.8789592760180995,0.8856951871657754,0.9026369168356998,sonar,1
rf_d4_fsqrt,rf,0.9004524886877828,0.8815889992360582,0.9401622718052738,sonar,1
rf_d4_f0.3,rf,0.8959276018099548,0.8794881588999236,0.936105476673428,sonar,1
rf_d4_f0.7,rf,0.8785822021116139,0.8806340718105424,0.9016227180527383,sonar,1
rf_d8_fsqrt,rf,0.8944193061840121,0.8873185637891521,0.9574036511156188,sonar,1
rf_d8_f0.3,rf,0.9057315233785822,0.8844537815126051,0.9198782961460447,sonar,1
rf_d8_f0.7,rf,0.8789592760180995,0.8856951871657754,0.9041582150101419,sonar,1
rf_d16_fsqrt,rf,0.8944193061840121,0.8874140565317037,0.9533468559837728,sonar,1
rf_d16_f0.3,rf,0.9057315233785822,0.8843582887700534,0.9208924949290062,sonar,1
rf_d16_f0.7,rf,0.8789592760180995,0.8856951871657754,0.9026369168356998,sonar,1
et_dNone_fsqrt,et,0.9377828054298643,0.9168258212375859,0.9726166328600405,sonar,1
et_dNone_f0.5,et,0.9385369532428356,0.9304812834224598,0.9781947261663286,sonar,1
et_d8_fsqrt,et,0.9374057315233786,0.9152024446142093,0.9756592292089249,sonar,1
et_d8_f0.5,et,0.9411764705882353,0.9260886172650878,0.9756592292089249,sonar,1
